name,price,gtin,url
Algida Dövme Sade Dondurma 1400 Ml,"59,90 ₺",8690637894091,https://www.gurmar.com.tr/algida-dovme-sade-dondurma-1400-ml
Algida Karlar Ülkesi 800 ml,"59,90 ₺",Belirtilmemis,https://www.gurmar.com.tr/algida-karlar-ulkesi-800-ml
"Algida Keyif Çilek, Kakao&Vanilya Aromalı Dondurma 1400 Ml","49,90 ₺",8690637939891,https://www.gurmar.com.tr/algida-keyif-cilek--kakao-vanilya-aromal%C4%B1-dondurma-1400-ml
Algida Magnum Mini Sunlover & Badem 6'lı 345 ml,"99,90 ₺",Belirtilmemis,https://www.gurmar.com.tr/algida-magnum-mini-sunlover---badem-6l%C4%B1-345-ml
Algida Classics Oreo Stick 65 Ml,"12,00 ₺",8690637934025,https://www.gurmar.com.tr/algida-classics-oreo-stick-65-ml
Algida Keyif Kakao&Vanilya Aromalı Dondurma 750 Ml,"39,90 ₺",8690637922954,https://www.gurmar.com.tr/algida-keyif-kakao-vanilya-aromal%C4%B1-dondurma-750-ml
Algida Magnum Duet Berry 360 Ml,"99,90 ₺",8683130013595,https://www.gurmar.com.tr/algida-magnum-duet-berry-360-ml
Algida Keyif Antep Fıstığı&Vanilya Aromalı Dondurma 750 Ml,"39,90 ₺",8690637878121,https://www.gurmar.com.tr/algida-keyif-antep-f%C4%B1st%C4%B1%C4%9F%C4%B1-vanilya-aromal%C4%B1-dondurma-750-ml
"Algida Keyif Kakao, Vanilya&Antep Fıstıklı Dondurma 1400 Ml","49,90 ₺",8690637939907,https://www.gurmar.com.tr/algida-keyif-kakao--vanilya-antep-f%C4%B1st%C4%B1kl%C4%B1-dondurma-1400-ml
Algida Buzzy Çilek 67 Ml,"7,00 ₺",8683130022665,https://www.gurmar.com.tr/algida-buzzy-cilek-67-ml
Algida Atalier Gelarto Çikolatalı 430 Ml,"99,90 ₺",8690637977619,https://www.gurmar.com.tr/algida-atalier-gelarto-cikolatal%C4%B1-430-ml
Algida Carte D'Or Selectıon  Gold 800 ml,"92,50 ₺",Belirtilmemis,https://www.gurmar.com.tr/algida-carte-dor-select%C4%B1on-gold-800-ml
Algida Carte d'Or Classic İsviçre Çikolatası Karamel&Muz,"89,90 ₺",8683130007341,https://www.gurmar.com.tr/algida-carte-dor-classic-isvicre-cikolatas%C4%B1-karamel-muz
Albeni Atıştırmalık Bisküvi Parçacıklı&Karamelli&Bisküvili Sütlü Çikolata 72 Gr,"13,00 ₺",8690504034735,https://www.gurmar.com.tr/albeni-at%C4%B1%C5%9Ft%C4%B1rmal%C4%B1k-biskuvi-parcac%C4%B1kl%C4%B1-karamelli-biskuvili-sutlu-cikolata-72-gr
Algida Carte D'Or Classıc  Barista 850 ml,"89,90 ₺",Belirtilmemis,https://www.gurmar.com.tr/algida-carte-dor-class%C4%B1c-barista-850-ml
Alaska Frigo Sütlü Çikolata Kaplı Dondurma,"18,00 ₺",8690526099606,https://www.gurmar.com.tr/alaska-frigo-sutlu-cikolata-kapl%C4%B1-dondurma
Algida Atelier Gelarto Double Karamel Dondurma 430 Ml,"99,90 ₺",8683130012062,https://www.gurmar.com.tr/algida-atelier-gelarto-double-karamel-dondurma-430-ml
Algida Maraş Usulü Antep Fıstıklı Sade Dondurma 500 Ml,"74,90 ₺",8690637883651,https://www.gurmar.com.tr/algida-mara%C5%9F-usulu-antep-f%C4%B1st%C4%B1kl%C4%B1-sade-dondurma-500-ml
Alaska Frigo Bitter Çikolata Kaplı Dondurma,"18,00 ₺",8690526099613,https://www.gurmar.com.tr/alaska-frigo-bitter-cikolata-kapl%C4%B1-dondurma
8 Kek Orman Meyveli Kek 55 gr,"7,50 ₺",8690504063476,https://www.gurmar.com.tr/8-kek-orman-meyveli-kek-55-gr
Bicscolata Minis Fındıklı Nirvana,"12,00 ₺",Belirtilmemis,https://www.gurmar.com.tr/bicscolata-minis-f%C4%B1nd%C4%B1kl%C4%B1-nirvana
"Big Babol Magıc Cubes Şakız 25,2 Gr","25,00 ₺",80817222,https://www.gurmar.com.tr/big-babol-mag%C4%B1c-cubes-%C5%9Fak%C4%B1z-25-2-gr
Big Babol Fantastıc World Meyve Aromalı Sakız,"45,00 ₺",Belirtilmemis,https://www.gurmar.com.tr/big-babol-fantast%C4%B1c-world-meyve-aromal%C4%B1-sak%C4%B1z
Big Babol Magic Cubes Karışık Meyveli Kutu,"45,00 ₺",80850779,https://www.gurmar.com.tr/big-babol-magic-cubes-kar%C4%B1%C5%9F%C4%B1k-meyveli-kutu
Bahçeden Kuru Kayısı 140 Gr,"69,00 ₺",8695876207473,https://www.gurmar.com.tr/bahceden-kuru-kay%C4%B1s%C4%B1-140-gr
Bahçeden Kavrulmuş Badem 140 Gr,"77,00 ₺",8695876207411,https://www.gurmar.com.tr/bahceden-kavrulmu%C5%9F-badem-140-gr
Bahçeden Kabak Çekirdeği 120 Gr,"42,00 ₺",8695876180202,https://www.gurmar.com.tr/bahceden-kabak-cekirde%C4%9Fi-120-gr
Bahçeden Gün Kurusu 140 Gr,"77,00 ₺",8695876207466,https://www.gurmar.com.tr/bahceden-gun-kurusu-140-gr
Bahçeden Çiğ Karışık Enerji 140 Gr,"75,00 ₺",8695876206476,https://www.gurmar.com.tr/bahceden-ci%C4%9F-kar%C4%B1%C5%9F%C4%B1k-enerji-140-gr
Bahçeden Beyaz Leblebi 180 Gr,"40,00 ₺",8695876207442,https://www.gurmar.com.tr/bahceden-beyaz-leblebi-180-gr
Big Babol Fantastic World Unicorn Sakız 90 Gr,"45,00 ₺",80908432,https://www.gurmar.com.tr/big-babol-fantastic-world-unicorn-sak%C4%B1z-90-gr
Algida Viennetta Gold Karamel,"79,90 ₺",8683130009697,https://www.gurmar.com.tr/algida-viennetta-gold-karamel
Big Babol Çılgın Meyveler Balonlu Mega Draje Sakız Kutu 36 GR,"18,00 ₺",80857716,https://www.gurmar.com.tr/big-babol-c%C4%B1lg%C4%B1n-meyveler-balonlu-mega-draje-sak%C4%B1z-kutu-36-gr
Algida Maraş Vişne Sade Limon Dondurma 460 ml,"49,90 ₺",Belirtilmemis,https://www.gurmar.com.tr/algida-mara%C5%9F-vi%C5%9Fne-sade-limon-dondurma-460-ml
Algida Maraş Usulü Sade Çikolata Dondurma Ml,"69,90 ₺",8690637883583,https://www.gurmar.com.tr/algida-mara%C5%9F-usulu-sade-cikolata-dondurma-ml
Algida Maraş Usulü Sade Dondurma 500 Ml,"69,90 ₺",8690637883576,https://www.gurmar.com.tr/algida-mara%C5%9F-usulu-sade-dondurma-500-ml
Algida Maraş Usulü Mandıra Dondurma 500 Ml,"74,90 ₺",8690637961359,https://www.gurmar.com.tr/algida-mara%C5%9F-usulu-mand%C4%B1ra-dondurma-500-ml
Biscolata Veni Çikolatalı Gofret 110 Gr,"21,50 ₺",8691707096520,https://www.gurmar.com.tr/biscolata-veni-cikolatal%C4%B1-gofret-110-gr
Algida Maraş Usulü Kesme Dondurma 650 Ml,"79,90 ₺",8690637910685,https://www.gurmar.com.tr/algida-mara%C5%9F-usulu-kesme-dondurma-650-ml
Biscolata Stix Sütlü 40 Gr,"16,00 ₺",8691707940809,https://www.gurmar.com.tr/biscolata-stix-sutlu-40-gr
Algida Maraş Usulü Çifte Dövülmüş Dondurma 500 Ml,"74,90 ₺",8690637849114,https://www.gurmar.com.tr/algida-mara%C5%9F-usulu-cifte-dovulmu%C5%9F-dondurma-500-ml
Biscolata Nirvana Fındıklı Gofret 28 Gr,"9,00 ₺",8691707097039,https://www.gurmar.com.tr/biscolata-nirvana-f%C4%B1nd%C4%B1kl%C4%B1-gofret-28-gr
Biscolata Starz Sütlü Çikolata Kaplamalı Bisküvi 82 Gr,"15,00 ₺",8699141055035,https://www.gurmar.com.tr/biscolata-starz-sutlu-cikolata-kaplamal%C4%B1-biskuvi-82-gr
Biscolata Nirvana Fındıklı Gofret 26 gr,"6,00 ₺",8691707098005,https://www.gurmar.com.tr/biscolata-nirvana-f%C4%B1nd%C4%B1kl%C4%B1-gofret-26-gr
Algida Maraş Usulü Bol Kaymaklım Dondurma,"74,90 ₺",8683130012130,https://www.gurmar.com.tr/algida-mara%C5%9F-usulu-bol-kaymakl%C4%B1m-dondurma
Biscolata Pia Portakallı Kek 100 Gr,"26,00 ₺",8699141157524,https://www.gurmar.com.tr/biscolata-pia-portakall%C4%B1-kek-100-gr
Biscolata Pia Çikolatalı Bisküvi 100 Gr,"26,00 ₺",8699141157531,https://www.gurmar.com.tr/biscolata-pia-cikolatal%C4%B1-biskuvi-100-gr
Biscolata Nirvana Fındıklı,"30,00 ₺",Belirtilmemis,https://www.gurmar.com.tr/biscolata-nirvana-f%C4%B1nd%C4%B1kl%C4%B1
Biscolata Pia Frambuazlı Kek 100 Gr,"26,00 ₺",8699141157517,https://www.gurmar.com.tr/biscolata-pia-frambuazl%C4%B1-kek-100-gr
Biscolata Nirvana Fındıklı Gofret 100 Gr,"25,00 ₺",8691707096476,https://www.gurmar.com.tr/biscolata-nirvana-f%C4%B1nd%C4%B1kl%C4%B1-gofret-100-gr
Biscolata Mood Karamel Macchıato 125 Gr,"38,00 ₺",Belirtilmemis,https://www.gurmar.com.tr/biscolata-mood-karamel-macch%C4%B1ato-125-gr
Biscolata Mood Çikolatalı Krema Dolgulu Bisküvi 40 Gr,"12,00 ₺",8699141157005,https://www.gurmar.com.tr/biscolata-mood-cikolatal%C4%B1-krema-dolgulu-biskuvi-40-gr
Biscolata Mood Çikolatalı Krema Dolgulu Bisküvi 125 Gr,"34,00 ₺",8699141057053,https://www.gurmar.com.tr/biscolata-mood-cikolatal%C4%B1-krema-dolgulu-biskuvi-125-gr
Biscolata Bitter Çikolatalı Fındıklı Nirvana,"7,00 ₺",Belirtilmemis,https://www.gurmar.com.tr/biscolata-bitter-cikolatal%C4%B1-f%C4%B1nd%C4%B1kl%C4%B1-nirvana
Biscolata Hindistan Cevizli Nirvana,"7,00 ₺",Belirtilmemis,https://www.gurmar.com.tr/biscolata-hindistan-cevizli-nirvana
Biscolata Minis Bitter Nirvana,"12,00 ₺",Belirtilmemis,https://www.gurmar.com.tr/biscolata-minis-bitter-nirvana
Biscolata Mood Bitter Çikolata Dolgulu Bisküvi 125 Gr,"34,00 ₺",8699141057039,https://www.gurmar.com.tr/biscolata-mood-bitter-cikolata-dolgulu-biskuvi-125-gr
Biscolata Mood Beyaz Çikolatalı Krema Dolgulu Bisküvi 125 Gr,"34,00 ₺",8699141056049,https://www.gurmar.com.tr/biscolata-mood-beyaz-cikolatal%C4%B1-krema-dolgulu-biskuvi-125-gr
Big Babol Shakies Muzlu Sakız 26 Gr,"15,00 ₺",80897354,https://www.gurmar.com.tr/big-babol-shakies-muzlu-sak%C4%B1z-26-gr
Big Babol Shakies Çilekli Sakız 26 Gr,"15,00 ₺",80954583,https://www.gurmar.com.tr/big-babol-shakies-cilekli-sak%C4%B1z-26-gr
Can Kardeşler Badem Draje 90 Gr,"42,00 ₺",8680440372695,https://www.gurmar.com.tr/can-karde%C5%9Fler-badem-draje-90-gr
Can Kardeşler Cappucino Badem Draje 90 Gr,"42,00 ₺",8680440372770,https://www.gurmar.com.tr/can-karde%C5%9Fler-cappucino-badem-draje-90-gr
Can Kardeşler Cappuccino Fındık Draje 90 Gr,"42,00 ₺",8680440372787,https://www.gurmar.com.tr/can-karde%C5%9Fler-cappuccino-f%C4%B1nd%C4%B1k-draje-90-gr
Can Kardeşler Çakıltaşı Draje 90 Gr,"32,00 ₺",8680440370035,https://www.gurmar.com.tr/can-karde%C5%9Fler-cak%C4%B1lta%C5%9F%C4%B1-draje-90-gr
Can Kardeşler Badem Şekeri 100 Gr,"30,00 ₺",8680440370059,https://www.gurmar.com.tr/can-karde%C5%9Fler-badem-%C5%9Fekeri-100-gr
Can Kardeşler Antep Fıstıklı Cezerye 190 GR,"42,00 ₺",8680440370080,https://www.gurmar.com.tr/can-karde%C5%9Fler-antep-f%C4%B1st%C4%B1kl%C4%B1-cezerye-190-gr
Can Kardeşler Antep Fıstıklı Atom Cezerye Kg,"504,00 ₺",2712605000009,https://www.gurmar.com.tr/can-karde%C5%9Fler-antep-f%C4%B1st%C4%B1kl%C4%B1-atom-cezerye-kg
Can Kardeşler Antep Fıstık&İncirli Lokum 100 Gr,"38,00 ₺",8680440373050,https://www.gurmar.com.tr/can-karde%C5%9Fler-antep-f%C4%B1st%C4%B1k-incirli-lokum-100-gr
Can Kardeşler Antep Fıstığı Şekeri 100 Gr,"27,00 ₺",8680440370295,https://www.gurmar.com.tr/can-karde%C5%9Fler-antep-f%C4%B1st%C4%B1%C4%9F%C4%B1-%C5%9Fekeri-100-gr
Boombastıc Fındıklı Bar,"12,00 ₺",Belirtilmemis,https://www.gurmar.com.tr/boombast%C4%B1c-f%C4%B1nd%C4%B1kl%C4%B1-bar
Bubblicious Çilek Aromalı Sakız 38 Gr,"13,00 ₺",7622210479563,https://www.gurmar.com.tr/bubblicious-cilek-aromal%C4%B1-sak%C4%B1z-38-gr
Can Kardeşler Antep Fıstıklı 90 Gr,"63,00 ₺",8680440372701,https://www.gurmar.com.tr/can-karde%C5%9Fler-antep-f%C4%B1st%C4%B1kl%C4%B1-90-gr
Bounty Hindistan Cevizli Çikolata Bar 57 Gr,"25,00 ₺",40111216,https://www.gurmar.com.tr/bounty-hindistan-cevizli-cikolata-bar-57-gr
Boombastıc Yer Fıstıklı Bar,"12,00 ₺",Belirtilmemis,https://www.gurmar.com.tr/boombast%C4%B1c-yer-f%C4%B1st%C4%B1kl%C4%B1-bar
Biscolata Veni Fındıklı Gofret 110 Gr,"21,50 ₺",8691707096544,https://www.gurmar.com.tr/biscolata-veni-f%C4%B1nd%C4%B1kl%C4%B1-gofret-110-gr
Biskrem Kakaolu Krema Dolgulu Büyük Boy Rulo Bisküvi 150 Gr,"17,00 ₺",8690504115380,https://www.gurmar.com.tr/biskrem-kakaolu-krema-dolgulu-buyuk-boy-rulo-biskuvi-150-gr
Can Kardeşler Kuruyemiş Çiğ İç Fıstık KG,"238,00 ₺",2708925000003,https://www.gurmar.com.tr/can-karde%C5%9Fler-kuruyemi%C5%9F-ci%C4%9F-ic-f%C4%B1st%C4%B1k-kg
Biskrem Kakaolu Krema Dolgulu Büyük Poşet Bisküvi 200 Gr,"23,00 ₺",8690504115014,https://www.gurmar.com.tr/biskrem-kakaolu-krema-dolgulu-buyuk-po%C5%9Fet-biskuvi-200-gr
Boombastic Marshmallow Çikolatalı Kek Bar 40 Gr,"10,00 ₺",8699141059699,https://www.gurmar.com.tr/boombastic-marshmallow-cikolatal%C4%B1-kek-bar-40-gr
Can Kardeşler Kuruyemiş Dut Kurusu Kg,"399,00 ₺",2716177000009,https://www.gurmar.com.tr/can-karde%C5%9Fler-kuruyemi%C5%9F-dut-kurusu-kg
Biskrem Extra Kakaolu 230 Gr,"25,00 ₺",8690504115304,https://www.gurmar.com.tr/biskrem-extra-kakaolu-230-gr
Can Kardeşler Kuruyemiş Ballı Fıstık 240 Gr,"48,00 ₺",8680440372510,https://www.gurmar.com.tr/can-karde%C5%9Fler-kuruyemi%C5%9F-ball%C4%B1-f%C4%B1st%C4%B1k-240-gr
Can Kardeşler Kuruyemiş Duble Beyaz Nohut KG,"168,00 ₺",2716137000001,https://www.gurmar.com.tr/can-karde%C5%9Fler-kuruyemi%C5%9F-duble-beyaz-nohut-kg
Can Kardeşler Kuruyemiş Çiğ Fındık Kg,"460,00 ₺",2716167000002,https://www.gurmar.com.tr/can-karde%C5%9Fler-kuruyemi%C5%9F-ci%C4%9F-f%C4%B1nd%C4%B1k-kg
Can Kardeşler Kuruyemiş Çiğ Amerikan Badem Kg,"469,00 ₺",2716168000001,https://www.gurmar.com.tr/can-karde%C5%9Fler-kuruyemi%C5%9F-ci%C4%9F-amerikan-badem-kg
Can Kardeşler Kuruyemiş Duble Antep Fıstığı Kg,"774,00 ₺",2716129000002,https://www.gurmar.com.tr/can-karde%C5%9Fler-kuruyemi%C5%9F-duble-antep-f%C4%B1st%C4%B1%C4%9F%C4%B1-kg-
Can Kardeşler Kuruyemiş Antep Fıstıklı Cezerye 600 GR,"202,00 ₺",8680440373074,https://www.gurmar.com.tr/can-karde%C5%9Fler-kuruyemi%C5%9F-antep-f%C4%B1st%C4%B1kl%C4%B1-cezerye-600-gr
Can Kardeşler Kuruyemiş Ağın Leblebisi 300 GR,"63,00 ₺",8680440374309,https://www.gurmar.com.tr/can-karde%C5%9Fler-kuruyemi%C5%9F-a%C4%9F%C4%B1n-leblebisi-300-gr
Can Kardeşler Kuruyemiş Antep Fıstığı Kg,"774,00 ₺",2716127000004,https://www.gurmar.com.tr/can-karde%C5%9Fler-kuruyemi%C5%9F-antep-f%C4%B1st%C4%B1%C4%9F%C4%B1-kg
Can Kardeşler Hanım Kabağı 328 Gr,"105,00 ₺",8680440374286,https://www.gurmar.com.tr/can-karde%C5%9Fler-han%C4%B1m-kaba%C4%9F%C4%B1-328-gr
Can Kardeşler Kahveli Draje 90 Gr,"32,00 ₺",8680440370042,https://www.gurmar.com.tr/can-karde%C5%9Fler-kahveli-draje-90-gr
Can Kardeşler Kuruyemiş Çiğ Kaju Kg,"500,00 ₺",2714998000000,https://www.gurmar.com.tr/can-karde%C5%9Fler-kuruyemi%C5%9F-ci%C4%9F-kaju-kg
Can Kardeşler Goji Berry&Chia&Gün Kurusu Yulaf Bar 35GR,"19,00 ₺",8680440375580,https://www.gurmar.com.tr/can-karde%C5%9Fler-goji-berry-chia-gun-kurusu-yulaf-bar-35gr
Can Kardeşler Kavrulmuş İç Karışık Kuruyemiş Kg,"512,00 ₺",2716153000009,https://www.gurmar.com.tr/can-karde%C5%9Fler-kavrulmu%C5%9F-ic-kar%C4%B1%C5%9F%C4%B1k-kuruyemi%C5%9F-kg
Can Kardeşler Festival Kuruyemiş Kg,"378,00 ₺",2726327000001,https://www.gurmar.com.tr/can-karde%C5%9Fler-festival-kuruyemi%C5%9F-kg
Can Kardeşler Draje Aşkı 250 Gr,"84,00 ₺",8680440370967,https://www.gurmar.com.tr/can-karde%C5%9Fler-draje-a%C5%9Fk%C4%B1-250-gr
Can Kardeşler Çiğ İç Karışık Kuruyemiş Kg,"524,00 ₺",2721090000005,https://www.gurmar.com.tr/can-karde%C5%9Fler-ci%C4%9F-ic-kar%C4%B1%C5%9F%C4%B1k-kuruyemi%C5%9F-kg-
Can Kardeşler Ceviz İçi (KG),"386,00 ₺",2716145000000,https://www.gurmar.com.tr/can-karde%C5%9Fler-ceviz-ici-kg
Can Kardeşler Kelebek Ceviz İçi (KG),"462,00 ₺",2716146000009,https://www.gurmar.com.tr/can-karde%C5%9Fler-kelebek-ceviz-ici-(kg)
Bubblicious Karışık Meyve Aromalı Şekerli Balonlu Sakız 38 Gr,"13,00 ₺",7622210479525,https://www.gurmar.com.tr/bubblicious-kar%C4%B1%C5%9F%C4%B1k-meyve-aromal%C4%B1-%C5%9Fekerli-balonlu-sak%C4%B1z-38-gr
